MMWR_Year,MMWR_Week,Date,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW.HAMPSHIRE,NEW.JERSEY,NEW.MEXICO,NEW.YORK,NORTH.CAROLINA,NORTH.DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE.ISLAND,SOUTH.CAROLINA,SOUTH.DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST.VIRGINIA,WISCONSIN,WYOMING
2015,1,2015-01-04,2,NA,26,1,NA,NA,NA,NA,17,16,3,NA,NA,NA,NA,NA,1,15,4,17,NA,11,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,37,10,NA,NA,NA,NA,NA,9,NA
2015,2,2015-01-11,3,2,6,2,NA,NA,NA,2,12,6,1,NA,NA,NA,NA,NA,2,1,1,21,NA,7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,26,25,NA,2,NA,NA,NA,1,NA
2015,3,2015-01-18,NA,2,14,1,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,13,5,9,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,12,13,NA,NA,NA,NA,NA,NA,NA
2015,4,2015-01-25,6,4,4,2,NA,NA,NA,NA,11,5,NA,NA,NA,NA,NA,1,NA,16,2,5,NA,3,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,24,44,NA,1,NA,NA,NA,5,NA
2015,5,2015-02-01,5,1,17,1,NA,NA,NA,NA,8,5,NA,NA,NA,NA,NA,2,NA,10,3,3,NA,1,NA,4,NA,1,3,2,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,10,25,NA,1,NA,NA,NA,5,NA
2015,6,2015-02-08,2,NA,11,3,NA,NA,NA,1,10,7,NA,NA,NA,NA,NA,NA,NA,1,3,7,NA,2,NA,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,12,33,NA,1,NA,NA,NA,3,NA
2015,7,2015-02-15,NA,1,10,2,NA,15,NA,1,10,2,1,NA,NA,NA,NA,2,4,8,2,8,NA,NA,NA,4,NA,2,6,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,6,34,NA,1,NA,NA,NA,5,NA
2015,8,2015-02-22,2,3,14,3,NA,NA,NA,2,14,7,1,NA,NA,NA,NA,2,NA,6,2,8,NA,5,NA,4,NA,1,1,3,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,26,35,NA,NA,NA,NA,NA,6,NA
2015,9,2015-03-01,NA,NA,15,1,NA,NA,NA,NA,13,8,NA,NA,NA,2,NA,3,NA,1,5,6,NA,4,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,9,46,NA,2,NA,NA,NA,4,NA
2015,10,2015-03-08,5,4,11,NA,NA,12,NA,3,14,8,NA,NA,NA,NA,NA,1,3,NA,1,10,7,3,NA,2,NA,NA,5,1,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,8,30,NA,NA,NA,NA,NA,9,1
